episode,global_steps,return,length,elapsed_sec
1,20,20.496212124443915,20,12.49
2,41,3.635870277268817,21,23.34
3,74,4.443521454783985,33,41.76
4,102,4.105361620931516,28,58.99
5,121,3.477138855902963,19,68.68
6,221,2.368596623293197,100,116.07
7,249,5.629946020473323,28,132.94
8,269,3.9241002670767964,20,141.85
9,290,3.485622417895208,21,151.32
10,306,4.079311789506817,16,160.24
11,328,4.778998470319523,22,173.76
12,358,4.37439809465258,30,188.36
13,378,4.841155929585513,20,198.76
14,393,3.76601558205433,15,204.71
15,428,4.757696068845247,35,222.87
16,458,4.447462174309452,30,238.95
17,470,3.7959565221628657,12,244.45
18,489,4.701164169341985,19,255.44
19,505,3.5853540656169263,16,261.61
20,533,3.7818878470602066,28,278.32
21,554,4.295481287291923,21,289.54
22,568,3.9666916165238617,14,296.82
23,668,2.3775949363798348,100,355.06
24,686,3.702594754830114,18,364.48
25,700,3.891911999595119,14,370.74
26,717,3.795719756485095,17,377.31
27,736,4.730109151172263,19,386.35
28,761,4.173764395990179,25,397.21
29,782,3.9185897935392155,21,408.49
30,882,-0.30968440375051937,100,536.54
31,899,3.4047747640834514,17,543.73
32,999,1.72987020194394,100,607.22
33,1016,4.472759393097917,17,617.52
34,1036,3.765855756315786,20,626.0
35,1055,3.512467637608348,19,635.48
36,1083,4.332695969839294,28,651.92
37,1183,2.8984895700483886,100,681.35
38,1221,4.899239971625166,38,700.09
39,1239,3.9639913869075976,18,708.67
40,1262,3.5023562296511024,23,720.46
41,1279,3.88228336964069,17,730.09
42,1294,3.763897235764779,15,736.9
43,1316,4.336520528899807,22,747.96
44,1416,2.7062077753256184,100,812.61
45,1441,4.646438863422052,25,826.05
46,1465,3.4257703898955087,24,836.32
47,1490,4.336785206294969,25,849.71
48,1544,5.290837377537945,54,875.59
49,1569,4.799506122172578,25,890.21
50,1586,3.9808880945596217,17,899.46
51,1612,4.516123707552174,26,912.01
52,1647,4.734675863755112,35,936.28
53,1671,5.16837442005426,24,951.86
54,1698,3.844698396328795,27,967.49
55,1738,3.457375015809065,40,978.38
56,1758,3.876199561427386,20,988.28
57,1773,4.072239671010728,15,996.37
58,1802,4.444414552262849,29,1013.27
59,1854,5.2425676541254616,52,1036.13
60,1876,4.34309076898335,22,1047.67
61,1899,3.326064542380794,23,1061.2
62,1912,3.7860760721356357,13,1067.01
63,1928,3.658592862498091,16,1074.06
64,1943,4.01765351179373,15,1081.6
65,1983,4.9565677081519,40,1108.31
66,2083,1.735402686620983,100,1138.91
67,2146,3.9721847869970963,63,1171.45
68,2177,4.99531819979211,31,1187.4
69,2277,0.9315896160560885,100,1222.62
70,2302,5.274559233323523,25,1237.28
71,2374,4.874107439941786,72,1264.91
72,2394,4.0511614460234835,20,1275.38
73,2415,3.7571710273471117,21,1287.02
74,2446,5.398584092345677,31,1303.81
75,2463,4.681775661095277,17,1313.71
76,2480,4.011680111833846,17,1321.86
77,2580,3.7456113846570855,100,1360.94
78,2614,4.507171797521676,34,1383.64
79,2643,5.097657835939621,29,1402.47
80,2716,4.816979345732536,73,1447.1
81,2816,-3.10451907943761,100,1538.8
82,2830,3.5235907835370606,14,1544.97
83,2851,4.158801678951789,21,1555.48
84,2866,3.484562022635071,15,1561.79
85,2895,3.7870801838824604,29,1578.09
86,2916,4.164979975788239,21,1588.89
87,2938,4.418119139958391,22,1600.11
88,2954,3.767581040628129,16,1607.77
89,2975,3.2752853096340893,21,1615.34
90,3003,3.8562407513858545,28,1633.87
91,3027,4.338495855759077,24,1646.7
92,3056,4.756274345881053,29,1663.35
93,3156,1.2494190729454309,100,1732.06
94,3173,3.7357996208477577,17,1739.91
